Age,EdLevel,MainBranch,DevType,Country,Industry,Employment,OrgSize,WorkExp,Worktype,YearsCode,YearsCodePro,Salary,Avgcodepro_time
3,2,1,1,24,4,1,3,1,0,31,24,186207.0,7
1,3,1,5,24,4,1,6,0,0,5,4,86897.0,1
2,2,1,2,25,4,1,7,1,0,12,10,125000.0,2
1,0,1,4,25,4,1,3,0,2,6,5,170000.0,1
1,2,1,9,7,4,1,2,1,0,21,8,91026.0,13
1,0,1,9,25,5,1,4,1,0,10,8,130000.0,2
1,1,1,5,16,4,1,2,1,0,10,7,45938.0,3
1,1,1,8,9,4,1,3,1,0,10,8,68537.0,2
2,2,1,5,19,2,1,3,4,2,24,23,79749.0,1
1,1,1,9,13,4,1,1,1,1,10,7,32127.0,3
1,2,1,7,9,4,1,7,1,0,15,10,112444.0,5
1,0,1,6,12,4,1,2,0,1,13,5,42836.0,8
1,3,1,9,9,4,1,6,0,0,3,2,68537.0,1
0,0,1,9,9,4,1,6,1,0,4,0,53545.0,4
2,1,1,7,21,7,1,2,4,1,27,21,49756.0,6
2,0,0,3,24,4,1,3,1,0,10,10,83173.0,0
1,2,1,10,16,4,1,0,0,2,8,6,119631.0,2
1,0,1,9,24,4,1,0,1,1,10,7,34759.0,3
3,0,1,5,9,3,1,2,4,0,39,21,87813.0,18
2,2,1,5,9,6,1,4,2,2,25,14,102806.0,11
1,1,1,6,9,4,1,3,0,0,7,4,44978.0,3
1,1,1,5,10,4,1,7,0,0,8,4,30292.0,4
2,1,1,9,3,4,1,4,3,0,20,15,16230.0,5
1,0,1,8,4,4,1,3,1,2,7,6,53533.0,1
0,0,1,9,0,4,1,0,0,0,7,4,40000.0,3
1,0,1,9,7,3,1,0,0,0,5,1,41765.0,4
2,1,1,9,20,4,1,0,0,2,5,3,74963.0,2
1,0,1,8,3,4,1,4,2,2,15,10,36518.0,5
4,1,1,8,11,2,1,5,6,1,43,34,58801.0,9
1,0,1,8,9,4,1,0,0,0,7,4,41765.0,3
2,1,1,9,9,4,1,5,1,0,25,9,74963.0,16
3,3,1,5,4,2,1,2,0,2,5,3,96657.0,2
0,1,1,9,25,7,1,6,0,1,3,0,73000.0,3
2,0,1,0,20,4,1,7,1,2,35,23,69608.0,12
1,0,1,9,25,7,1,7,2,1,9,6,50000.0,3
2,2,1,1,16,5,0,7,1,2,10,10,71779.0,0
2,3,1,8,13,3,1,3,3,0,22,20,85672.0,2
1,1,1,10,10,4,1,3,1,1,8,6,14540.0,2
3,2,1,5,9,7,1,6,6,0,35,25,113515.0,10
2,0,1,9,1,4,1,1,1,1,23,9,78711.0,14
2,1,1,7,8,7,0,3,4,0,30,25,107090.0,5
2,2,1,8,8,2,1,7,3,0,20,17,85672.0,3
3,0,1,6,25,3,1,2,5,2,30,25,110000.0,5
2,2,1,7,9,4,2,3,3,1,26,20,27843.0,6
0,0,1,9,24,4,1,2,0,0,8,5,52138.0,3
1,1,1,9,10,6,1,3,1,2,10,8,66643.0,2
1,0,1,9,5,4,0,0,1,2,16,12,54592.0,4
4,0,1,9,9,4,0,0,6,2,42,37,128507.0,5
3,0,1,9,9,4,1,6,1,0,23,20,72607.0,3
2,2,1,9,3,4,1,5,1,2,25,23,28403.0,2
1,3,1,5,9,4,1,3,1,1,22,7,53116.0,15
2,1,1,9,11,6,1,2,2,1,28,13,96220.0,15
2,0,1,1,16,4,1,5,2,0,13,12,81349.0,1
4,0,1,9,25,4,1,2,1,2,42,42,150000.0,0
0,1,1,0,10,4,1,7,0,2,7,2,11511.0,5
1,2,0,2,25,7,1,7,2,2,10,10,165000.0,0
1,1,1,7,16,4,1,7,0,2,9,2,38282.0,7
1,2,1,8,19,4,1,5,2,2,16,13,74254.0,3
2,0,1,9,12,4,1,0,0,1,5,3,25701.0,2
3,1,1,9,20,4,1,4,1,2,35,30,53545.0,5
0,1,1,10,13,4,1,3,0,1,8,1,32127.0,7
0,1,1,9,9,3,1,2,0,0,6,3,69608.0,3
2,2,1,9,6,4,1,2,2,1,13,10,89722.0,3
